,Q16288,P54764,O43353,P48736,P06239,P43405,Q13523,Q15375,P29320,P21127,O43293,O75914,P57078,P22612,Q13163,Q13976,P00533,Q5VT25,P32298,P04629,Q06187,P36888,Q13233,Q14004,Q9Y4K4,P16234,Q92769,Q9Y5N1,Q9Y6F1,Q13555,O60285,P15735,Q15831,Q13131,Q12866,Q9P1W9,Q00535,Q9ULX7,P08922,P37023,Q9UQM7,Q16512,P07332,Q9UHD2,P62993,P42680,P49840,P09619,P35916,Q16539,P11274,Q15303,P29376,P35968,P11309,O14965,O15146,Q9BWU1,O75582,Q92772,P08238,P29597,P54756,O75676,Q9H2K8,P41597,P28072,Q09013,P51451,P07948,Q9UL54,Q9Y2K2,P30291,O00506,Q8TBX8,Q96L34,P07333,Q15349,Q9UM73,P11362,Q96GD4,P22694,Q01959,P51956,P09874,P17948,Q02779,P50613,P08173,Q9Y2U5,Q13177,O00444,P29317,P07949,P36897,P57058,Q04912,P19784,Q07002,P08069,Q9H422,Q86V86,Q9H1R3,O43570,P08172,Q8N4C8,Q05397,P22607,P16083,Q13188,P08684,Q9UBN7,P41240,P41743,P17252,P23458,P04626,Q9BY41,Q9NSY1,Q16665,P15056,O14976,Q9BUB5,P25440,Q9UKE5,Q06418,P29322,P06241,P18089,Q8TDR2,Q9UIK4,Q86Y07,P08581,Q8IYT8,Q9UBF8,Q9H0K1,P49759,Q9Y6R4,O94804,Q92731,P62942,P42685,Q8IVH8,O75716,P35354,P16591,P07947,P51617,Q52WX2,O00519,P04035,Q9P286,Q9UPZ9,Q9Y616,P52732,Q9HAZ1,Q9BQI3,Q16832,P21802,Q08345,Q8NE63,Q05513,Q13557,Q12852,P17612,P14867,P00519,Q8N5S9,Q04771,Q15910,P04049,P06213,Q9H2K2,O75385,O60331,P21860,P49841,Q9UNQ0,P78356,Q9P2K8,P10275,Q13546,P36896,P27361,P45984,Q02750,P42684,O15379,Q9UF33,Q9Y6E0,Q14164,O96013,P10398,Q9UBE0,P19525,Q13043,Q8NI60,Q16620,P41595,P80192,Q96DB2,Q16513,Q9UQL6,Q9Y2H9,Q00537,Q15139,P52333,Q9UQB9,Q6XUX3,P49674,Q7RTN6,P35372,P08631,P62158,Q13547,Q15746,Q6PHR2,Q9NYL2,O15357,P49336,P08235,P53355,P33981,P53350,P54760,O96017,P24864,Q00534,P54762,Q9UEE5,Q9UQ88,P42336,Q96D53,Q6P3R8,Q13470,Q07912,Q5S007,P12931,P35218,O00141,P35590,Q9Y6Q9,Q9UBE8,Q9UK32,Q9BX84,P27037,Q9UPE1,P06493,Q96RR4,Q9NQU5,O43318,Q9BVS4,P27448,P42338,O60674,O94956,O14920,Q2M2I8,Q8TDC3,P23975,Q8TD19,Q14289,P54619,Q969S8,P68400,P54646,P26927,Q9Y572,P29323,O14757,P45983,Q9BYT3,Q7KZI7,Q56UN5,P48426,P33527,Q9HC98,P36507,P57059,Q9NYY3,P25100,Q15418,Q12851,Q08881,Q13451,O75116,P80370,Q9UGN5,Q59H18,Q13535,P06756,Q9NY57,P53779,P0C264,P10721,P14780,P24557,P78362,P30530,Q00536,P10276,Q05655,Q13315,P11802,Q16790,O15197,P20309,Q9Y463,P42345,P14616,O94921,P04792,Q15465,P28223,Q8IU85,Q9P289,Q13873,Q9NRH2,O94768,P56524,Q15759,P50750,Q9H2G2,Q96SB4,P11511,P18405,P09769,O14578,P07451,P41440,O15530,Q02763,Q9Y478,Q15059,Q16584,Q00526,P51813,Q12931,Q86YV6,Q04759,P24723,Q02156,O94806,Q8TDU6,P23443,Q9H2X6,O00329,Q8WU08,P53671,Q9BXA7,Q96S53,Q9H093,Q92918,O00750,P28062,P28065,P53667,Q8WTQ7,P12268,P51955,Q9NWZ3,Q53EL6,P48730,Q9BRS2,Q99759,P51957,O95819,Q13490,P20794,Q07820,O00238,Q86Z02,Q99720,Q13153,O43283,Q06278,P24941,O14733,P34947,O95835,Q9NRP7,P53778,P22455,P08575,Q7L7X3,P04150,Q13509,P23219,P39877,Q92753,Q8TEK3,Q9H9B1,P51812,P49760,Q14680,P14635,O15297,Q99570,P49137,O14730,Q8NEB9,Q9P0L2,P43403,P51843,P05129,P10415,P09237,P00918,O14980,O76039,O15075,O00571,P22748,O75747,Q13882,P67870,P23280,P03372,P20248,Q9H3R0,Q9C098,P42681,Q15125,Q96KQ7,P18825,O00311,Q13627,Q8IY84,Q8TD08,P49761,O14936,O15264,O75460,P54753,Q96FL8,Q9BXW9,P19793,Q9Y2T1,P55072,Q13164,O00443,P68106,P30519,Q16816,Q06210,Q96NX5,Q15569,Q9NRM7,P14902,Q32MK0,O43172,P31749,P78536,P14207,P36894,Q8IVW4,P0C1S8,P78368,Q9H4B4,P11474,P21709,Q96NT5,P08254,O15111,P08913,Q14012,P98170,Q9NZK7,P51817,P21453,Q9UKV0,Q15131,Q9UNK4,Q9NZJ5,Q15208,Q58F21,P04818,Q13237,Q9BZL6,Q15393,P35398,Q15835,Q16566,Q12809,P18031,Q9Y243,O14684,Q8TDX7,P45985,P30085,P61073,Q8WUI4,Q00987,O00764,Q9UEW8,P34913,P35462,P40306,Q8N752,Q99835,Q13464,P42229,P52564,P00915,Q86UE8,P28482,P03956,P05231,P11021,Q9HBY8,P07900,O60885,P11229,Q8N1Q1,O43683,Q16659,P14555,Q96PY6,P06730,Q96Q40,P61160,Q8N568,Q8NG66,P05771,Q8NFD2,Q9HBH9,Q13554,P16455,Q99755,P08253,O15496,P31751,P20813,P46734,Q92499,O60563,O95271,Q13705,Q16644,B2RXH2,P37173,P08185,P06401,Q08209,P15104,Q9BZM2,P43166,Q9H3Y6,Q9UKI8,P28335,P14416,P07237,P52209,P48729,Q96BR1,Q00613,P31645,P05177,P50406,Q16548,P28074,P22303,Q99640,P15328,Q13489,Q9Y2D0,P21452,P01112,P42679,Q9Y6L6,Q99500,P04054,P22894,P13631,O95977,P42356,Q92793,P09038,P43490,P28702,Q9NZ45,P16152,P27986,Q9BY08,P42330,Q9UIF9,Q9NWT8,P56704,Q13418,Q9Y4C1,P05093,P14625,Q07817,Q92630,P31689,Q9Y5S2,Q6DT37,P55263,P23284,Q04760,Q96JM7,Q8IW41,P10826,P30281,Q8TF76,P00374,P00813,Q6P5Z2,O95747,Q9Y2H1,O14744,Q8WXR4,Q8IWQ3,O15554,P48443,P01375,Q01538,Q09472,Q9UIF8,P41145,Q13093,P0DMS8,Q15118,Q9H237,P45452,Q02224,Q86VL8,O15054,P04156,P15121,Q96RI1,P31213
CHEMBL576982,550.0,,,,,,,,,,,,,,,,,,,,,101.8499984741211,,,440.0,11.0,,,,,,,,,,,,,,,,,,,,,,7.699999809265137,41.0,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,41.0,,,,,,,,171.89999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,320.0,,,,,,,,,,,,,,,,,,,,,890.0,,,,,,,,,,,,,,,,620.0,,,,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.150000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3544932,,22.450000762939453,,,105.20999908447266,,,615.4099731445312,,,,,,,,,,,,842.6099853515625,327.760009765625,554.2999877929688,,,,87.0,,,,,17.549999237060547,,,,,,,,,,,,48.0,,190.58999633789062,281.510009765625,,,,,133.05999755859375,,,,,3.0999999046325684,,,,,,54.0,508.2799987792969,,,,,,14.0,356.5799865722656,,,,,,,,,,,43.58000183105469,,,,,,,205.25999450683594,,,,41.040000915527344,177.75999450683594,110.9000015258789,197.07000732421875,,,,,,,,,,,,264.0299987792969,65.0,,,,,,,,93.0,,,694.6300048828125,,,,,,,,,95.29000091552734,,,,,,,,115.3499984741211,45.0,,949.0900268554688,,,221.8000030517578,,849.4000244140625,,574.3699951171875,22.3799991607666,,,,,,,26.68000030517578,,,,,205.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,422.4700012207031,,,,,,,,,,,,,80.0,,,,,,,1.2000000476837158,4.199999809265137,,,,,142.57000732421875,,,,,,135.8300018310547,,,,,,655.5800170898438,50.0,,,8.899999618530273,,,,,,558.1599731445312,281.17999267578125,3.0,92.04000091552734,,,,,,898.8499755859375,,,,,,,,,,,17.0,,,,,,,190.30999755859375,354.5400085449219,,,,,,668.5700073242188,,,35.0,,,,,,,,,,,,12.0,,,,,,,,,,,58.0,,,,,,,,,,,451.2799987792969,,,,,,,,,,,,,,,,,,,,,,,,,,,540.8900146484375,,,,,,,,,,,,,,,,,,,705.3200073242188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.4600067138672,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.100000381469727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1801204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12999999523162842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3545097,,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.52999877929688,,881.4099731445312,,,,,,,,,,,,,,,,,,,,,,,766.6599731445312,,,,,,,,,,,,,,,,,,,,,,,,,,,158.36000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.79998779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.559999465942383,,,,,,,,,,,,,,,,,,,,123.36000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.4500122070312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.600000381469727,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL521851,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.700000047683716,,,,,,,,,,,,,,,,,,,,670.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.0,,,,,,,520.0,5.0,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL558752,,,950.0,,640.0,,,,,,,770.0,,,,,,,,,,,,,830.0,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,410.0,,,720.0,,,,,370.0,,,,,,,250.0,,,,,,,,,800.0,,,,,,,,119.5,,,,,,,,,,,,,,,,,,,,,,,,,,,765.0,,,,,,,,,,,,,,,,,,60.0,,,590.0,,,,,940.0,,,,,,,,,,,960.0,,13.0,560.0,,,,,,,,,,390.0,,,,,,,,,55.0,,,,,,,,,,,,,,,950.0,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,490.0,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,545.0,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,510.0,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL495727,,,,,889.8499755859375,115.98999786376953,,7.679999828338623,,,,,,2.680000066757202,46.880001068115234,,,,,,537.1199951171875,63.93000030517578,,,,,,,,,,,,50.470001220703125,1.0,,,,,15.449999809265137,,,,102.27999877929688,,134.80999755859375,6.179999828338623,,1.0,,155.5500030517578,,,10.0,,46.970001220703125,,,,,,278.5899963378906,,73.30999755859375,,,,,,,,,,,,,,1.0,,24.579999923706055,16.530000686645508,927.4400024414062,,,,10.0,,,,277.5,,20.8700008392334,,10.880000114440918,77.33999633789062,,,64.8499984741211,,,,,,,,,,10.0,,,,,,,,367.92999267578125,,,34.29999923706055,,,,,,800.5900268554688,,,511.42999267578125,,,,,6.610000133514404,,,30.280000686645508,,,82.0199966430664,,,,,,,306.69000244140625,574.239990234375,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,6.880000114440918,,,,,,811.010009765625,,508.760009765625,,,,,,215.3300018310547,110.12999725341797,,,,,,,,,,,,,,10.0,1.0499999523162842,,,,,,664.25,,,,44.95000076293945,,,,,,,,,,,140.2899932861328,,10.0,,,,,,,,591.719970703125,,,,,,16.09000015258789,,,,,,213.25,,,,,1.100000023841858,,,17.459999084472656,,,,,34.09000015258789,,,,,,,84.11000061035156,157.49000549316406,,,,,,,,,,,471.3699951171875,,,,,,,,,,,357.5199890136719,,,,,,,32.209999084472656,,,,,,12.010000228881836,,,,,,,,,,,43.0,,,,,,401.8699951171875,,,,,,,,,,41.63999938964844,,55.65999984741211,,,,,,,,531.6500244140625,,117.48999786376953,,,,,,,,214.19000244140625,,,,,,,,,,,,345.17999267578125,,107.62000274658203,,,,21.06999969482422,,,,,,,,,44.88999938964844,,,,,,,,,,,,,107.54000091552734,,,,,,,,,,,,,,,,,,,,,,187.8000030517578,102.58999633789062,,,,,,,,,,510.8699951171875,,,,,,,,,,,,,,,,,,,,,,,,129.35000610351562,,,,,387.8699951171875,,,,,,,,,,,,,,,,,8.739999771118164,,,,,,,243.86000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3499984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.25,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,
CHEMBL1287853,,,,,72.0,,390.0,,,,1.2000000476837158,,,,360.0,,,,170.0,840.0,850.0,669.8200073242188,,,,,,,,540.0,34.0,,310.0,,820.0,,,,600.0,,300.0,,530.0,,,,,45.0,,,,,,,,,800.0,,,,,235.5,,140.0,,,,,650.0,500.0,760.0,,,,,970.0,620.0,,650.0,280.0,,,,640.0,,,,120.0,,580.0,,,,,,,,,,,,,,,,,172.22000122070312,560.0,,,,,,,,,,,518.510009765625,,,46.0099983215332,,,,,,38.0,,,29.0,,,79.0,,,,,,,,200.0,,566.3800048828125,,,120.0,220.0,790.0,,,,,,,,,950.0,470.0,,220.0,,590.0,,,,61.0,,150.0,,,850.0,,270.0,,,,,160.0,100.0,,,,,,,570.0,,,,,,,,,,,,,,,,,,350.0,,74.0,350.0,,,,,,,,520.0,290.0,650.0,,,,16.0,450.0,280.0,,,,,,610.0,,,300.0,570.0,360.0,,935.0,75.0,,,700.0,,,360.0,,,170.0,,,,,,300.0,,1.100000023841858,,360.0,358.6300048828125,,,,220.0,,,920.0,,,,,,,220.0,,19.0,,,120.0,,39.0,,,810.0,,490.0,,,,,,,,,200.0,,125.0,,,100.0,160.0,,,,,,,300.0,,,,,,,,,460.0,,,230.0,45.0,,,,680.0,160.0,,,82.0,140.0,,,,,,,,,,,130.0,,,,,,,,,,,,,49.0,,,,,940.0,,,,,,,100.0,,,,,,,410.0,860.0,,,590.0,,,,,,870.0,,,,,,,,,,,,,,,,,,,91.0,,700.0,,,,,,,,,190.0,,,,,,,,,,13.0,,,,,,,,510.0,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,,,730.0,,,830.0,,,,,,,,,,,,340.0,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0,,,,380.0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL223360,501.0,,,,,,,110.0,,,,,,,,,,,,,,25.0,,38.0,316.0,50.0,,,,,,,,,870.0,,,,,,,,,,,,,3.981071710586548,10.0,,,,,7.943282127380371,,,10.0,74.0,630.0,,,,,50.0,260.0,,,,316.0,251.0,,,,,,,7.943282127380371,,,,79.0,,,,,630.0,,,,,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,,,19.0,,,,501.0,,,,,,,,,,79.0,,,,58.0,39.0,,,,,,,,,,,794.0,,,,,,,,,,,,,240.0,,,,330.0,,,,,,,,,630.0,,,,,,,,,,71.0,,,,,,,,,,,,1.0,,,,,,,,,880.0,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,630.0,,,,,,270.0,,,10.399999618530273,,,,125.0,,,,,,,33.0,,,,,,,,,,,,,,,370.0,,,,,,,,,,,450.0,,,,,,,,,,,,,199.0,,,640.0,,,,,830.0,,,,,,,,,,,,,,,,,,710.0,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.369999885559082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL255863,600.0,330.0,,,47.0,,,,110.0,,,,,,190.0,,,,,,,,,,,180.0,,,,,,331.3999938964844,,,,,,223.0,,,,,,,174.17999267578125,,,73.0,,926.8099975585938,650.9099731445312,,,,,,,,,,,,,,,,,,500.0,,,,,,,,45.0,,,,,,,,,,,,,,,,771.8400268554688,985.0,,,,,,,,,,302.0,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,560.0700073242188,,,,,,,,,,,,,,,,346.57000732421875,,114.69999694824219,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,290.7799987792969,,640.0,,,,,,,,,490.0,,,,,,,,,,,,,,,390.0,,,,,,518.77001953125,,,,,,730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.0,,450.0,,,,,,,,,,,,,,,,,,360.0,,,,,,205.0,,,,,,,,,,41.900001525878906,500.0,,,,,,,,,,,,,,,,,,,,,320.0,,443.0,,,,,,,,,,,,,,,,,,,,,,,,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.099999904632568,,,,,446.0,,,,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.299999237060547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.760000228881836,,,,,,,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
