,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
CHEMBL576982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
CHEMBL3544932,2.6,24.9,28.6,0.0,2.3,0.0,1.6,8.7,1.0,2.2,4.1,0.0,3.3,7.1,2.6,1.5,1.4,0.0,5.8,1.3
CHEMBL1801204,0.0,24.6,16.0,3.4,0.3,0.0,0.0,0.0,0.0,2.8,11.6,2.3,0.7,3.7,0.7,1.7,0.5,0.0,0.0,0.0
CHEMBL3545097,0.0,13.3,7.9,0.0,0.0,0.4,0.0,0.0,0.0,0.4,5.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.1,0.0
CHEMBL521851,0.3,17.7,18.8,1.5,1.4,0.0,0.0,0.0,0.0,2.5,4.1,0.2,3.0,1.7,7.5,0.0,1.6,0.0,0.0,0.0
CHEMBL558752,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL495727,0.0,18.0,31.1,0.0,0.7,0.0,3.2,10.1,2.0,3.4,5.7,0.0,2.1,0.0,0.0,2.6,0.0,5.8,4.5,0.0
CHEMBL1287853,3.0,8.3,11.8,3.1,3.9,0.0,0.4,2.4,5.2,8.0,7.0,2.1,4.7,5.2,1.5,6.1,5.4,6.5,7.1,3.6
CHEMBL223360,0.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
CHEMBL255863,0.0,0.0,1.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0
CHEMBL2403108,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.2,0.0,0.9,4.6,0.0,0.0,0.0,0.0
CHEMBL296468,1.3,14.1,21.3,0.0,7.9,0.0,0.0,12.5,0.4,20.8,12.3,2.3,2.2,17.1,18.6,15.8,30.0,6.4,16.3,12.5
JGWRKYUXBBNENE-UHFFFAOYSA-N,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL494089,0.0,27.3,1.6,0.6,0.0,0.0,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0
CHEMBL502835,0.0,0.0,2.2,1.5,2.3,3.1,0.0,3.9,1.1,1.7,7.2,2.1,2.2,4.0,0.4,2.9,1.8,4.0,4.8,1.2
CHEMBL572878,0.9,25.4,36.1,0.0,6.8,13.8,2.6,7.7,0.5,0.0,12.2,0.0,1.1,2.5,5.5,4.5,0.8,0.0,2.4,2.9
CHEMBL3128043,5.1,18.5,22.0,0.1,3.7,0.0,6.1,7.0,1.0,14.9,19.9,2.4,3.6,9.5,5.0,7.0,18.0,10.8,8.8,3.7
CHEMBL939,0.0,0.0,2.4,0.7,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.9,0.0,1.0,1.1,1.3,1.0,0.0,0.0
CHEMBL554,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL220241,0.0,20.3,18.7,0.0,0.0,0.4,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0
CHEMBL522892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1084546,0.0,6.6,19.6,0.0,3.9,0.0,0.0,2.0,0.0,3.8,6.2,0.1,0.4,3.2,1.3,0.8,6.1,1.4,3.6,2.6
CHEMBL3301625,0.0,0.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.1,0.0,0.0,0.2,0.0
CHEMBL3577124,0.0,0.8,11.7,0.0,0.3,13.7,0.0,0.0,1.8,10.9,26.9,0.3,3.1,2.6,0.0,3.0,0.3,0.4,1.0,2.4
CHEMBL225071,0.0,19.9,16.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,2.5,0.0
CHEMBL445813,2.6,8.6,13.3,0.0,9.4,4.6,0.0,6.4,0.0,10.8,10.0,1.7,3.7,14.0,14.8,8.0,20.0,4.2,13.1,6.4
CHEMBL1946170,0.0,4.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.9,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1173655,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.6,0.0,9.3,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0
CHEMBL1289926,0.0,11.8,17.1,0.0,0.0,0.0,0.7,1.1,0.0,0.0,8.0,0.0,0.0,2.2,5.1,2.3,0.5,0.0,3.0,0.6
CHEMBL2364628,0.0,4.0,4.4,0.1,0.6,3.9,0.9,0.0,1.6,1.7,7.4,0.7,0.0,4.1,5.3,8.2,6.4,0.5,0.9,0.0
CHEMBL2441082,0.0,2.9,0.1,0.0,0.4,4.5,3.4,5.4,0.0,5.8,5.6,0.0,0.0,3.4,0.1,1.1,2.5,0.1,0.0,1.9
CHEMBL521686,0.0,9.7,22.4,0.0,0.0,0.0,0.0,3.6,0.0,0.0,4.7,0.0,0.0,0.8,0.0,1.5,0.0,0.0,0.0,0.2
CHEMBL608533,0.0,28.7,32.8,2.2,0.4,3.3,1.8,5.8,0.4,3.6,15.2,3.3,5.1,1.5,14.6,7.0,1.0,6.4,8.5,1.3
CHEMBL535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.7,2.4,0.0,0.0,0.0
CHEMBL2041933,0.0,10.9,11.1,0.7,0.5,4.3,0.0,2.1,0.0,7.5,5.0,2.4,2.7,0.5,2.7,4.4,0.8,3.1,9.9,0.7
CHEMBL565612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.1,0.0,0.0
CHEMBL2103840,1.5,23.0,29.2,0.0,7.4,15.5,0.0,10.7,0.0,18.2,9.8,4.1,5.6,16.4,16.9,14.0,26.3,7.2,20.2,13.0
CHEMBL118,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
CHEMBL1873475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
CHEMBL24828,0.0,3.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
CHEMBL402548,2.7,27.2,34.8,0.0,2.8,0.0,2.0,12.6,5.0,0.4,14.4,0.0,4.4,8.0,0.0,8.0,4.2,2.9,7.1,0.6
CHEMBL2105719,0.0,2.7,1.0,0.0,0.0,0.0,0.0,0.6,0.0,10.6,0.0,0.1,1.7,0.0,0.6,3.2,0.9,0.9,0.0,0.0
CHEMBL1421,0.5,0.0,15.7,0.0,2.1,1.2,0.0,0.8,0.0,6.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL3544911,0.0,36.1,42.5,2.7,0.0,0.0,4.6,2.8,0.1,24.2,8.1,5.6,13.0,22.8,16.4,27.7,5.7,6.2,40.7,0.0
CHEMBL3301610,0.0,2.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.6,2.0,0.0,0.0,0.0
CHEMBL941,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.0,0.0
CHEMBL488436,0.0,8.7,14.3,2.4,4.8,0.0,0.0,4.4,0.0,8.7,4.8,2.8,0.9,5.1,8.6,7.5,9.9,4.6,7.7,5.3
CHEMBL572881,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0
CHEMBL1090479,0.0,31.4,31.4,0.0,0.0,1.4,0.0,6.1,0.0,0.0,5.3,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0
CHEMBL1951415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL513909,1.8,33.9,30.9,0.0,3.3,0.0,0.0,0.0,0.0,9.9,5.2,9.4,4.2,29.2,17.1,0.0,1.5,7.4,10.5,11.0
CHEMBL2419346,0.0,16.4,16.0,4.0,0.0,8.7,0.0,1.9,0.0,9.5,13.7,0.0,3.5,0.3,0.1,0.0,2.4,1.7,3.6,0.7
CHEMBL2105759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL467399,0.0,18.7,17.1,0.1,0.0,8.8,0.0,4.1,0.0,11.0,26.3,0.0,6.6,0.9,0.0,0.0,3.2,1.2,2.9,2.2
CHEMBL2029988,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
CHEMBL964,0.0,6.0,8.1,0.0,3.9,0.8,6.9,2.5,5.5,6.9,3.2,5.5,6.1,6.1,0.7,6.5,8.2,6.0,7.3,6.4
CHEMBL148674,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.0,0.0,5.5,0.0,0.0
CHEMBL3353410,0.0,11.5,8.1,0.0,0.0,0.0,0.0,1.1,0.0,4.8,1.7,2.9,1.1,1.6,0.4,2.9,3.7,1.6,0.0,0.0
CHEMBL288441,2.3,5.3,10.5,4.3,4.7,5.6,3.7,3.6,3.0,10.7,7.2,4.7,8.2,3.3,8.0,4.1,6.9,6.3,6.6,3.9
CHEMBL1996234,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL31965,3.9,10.0,8.3,3.1,4.7,4.6,4.3,7.9,2.7,15.2,5.8,3.1,6.1,3.9,7.7,6.0,7.9,5.9,6.5,5.5
CHEMBL483158,0.0,29.7,34.8,0.0,2.0,1.3,3.6,8.3,0.0,0.0,18.7,0.0,0.0,4.6,12.6,2.4,0.0,0.0,1.3,7.0
CHEMBL3265032,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL475251,0.0,4.8,10.8,0.0,0.0,0.0,0.0,0.2,0.3,6.3,1.6,1.6,1.9,2.1,0.4,0.0,0.2,0.0,5.2,0.3
CHEMBL1230609,0.0,7.6,11.8,0.0,0.9,0.0,2.8,0.1,0.0,3.4,3.6,0.0,0.3,2.1,4.9,2.0,0.0,0.0,1.6,0.1
CHEMBL428690,2.6,14.3,14.3,0.7,5.9,2.9,0.0,10.1,0.0,13.7,12.3,2.1,4.5,14.0,12.7,7.8,16.3,6.5,14.0,12.0
CHEMBL38,0.0,1.5,2.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL221959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2325741,0.0,16.5,5.6,0.0,0.0,0.2,0.0,0.4,0.0,0.0,2.3,0.0,0.0,6.4,0.5,1.4,2.6,0.0,0.2,0.0
CHEMBL954,2.9,10.4,1.9,5.1,4.4,7.1,1.5,6.4,6.5,5.3,7.4,2.5,1.4,3.6,7.5,6.2,3.0,7.7,4.9,1.7
CHEMBL1976040,3.6,31.0,29.7,0.7,3.9,3.7,4.4,5.3,1.1,17.2,10.6,16.3,7.9,15.3,18.2,13.4,3.8,4.4,20.7,8.0
CHEMBL103667,0.0,0.0,15.1,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.0,0.8,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.0
CHEMBL3137320,0.0,33.8,44.6,0.0,0.0,0.0,0.0,2.1,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,7.1,0.2
CHEMBL477772,0.0,0.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL180022,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.1,0.0,1.6,2.0,1.3,0.0,0.0,0.0,0.0,0.0
CHEMBL564829,0.8,12.2,19.8,0.0,1.5,0.0,0.2,2.7,0.3,4.6,4.2,1.0,1.0,13.4,2.8,4.1,7.2,0.9,6.5,0.7
CHEMBL360847,2.0,14.4,11.4,3.8,3.6,4.5,2.5,7.0,0.8,4.5,6.6,6.4,5.0,3.9,7.1,4.8,6.9,7.8,7.4,1.8
CHEMBL1908394,2.3,27.2,44.1,2.2,10.1,14.0,14.0,8.6,3.0,11.4,6.2,9.0,5.0,33.1,21.6,2.5,3.9,8.6,13.9,18.1
CHEMBL601719,0.0,3.3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CHEMBL1289601,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.2,0.0,0.1,0.0,0.0,0.0,0.0
CHEMBL7568,8.4,19.7,19.5,8.9,8.4,16.1,8.2,12.5,8.8,17.9,18.1,8.2,12.2,16.0,7.8,12.1,19.0,17.8,11.7,12.4
CHEMBL2105728,2.4,10.8,19.4,2.4,3.9,0.2,6.4,2.4,1.8,6.4,11.6,17.7,4.8,4.1,6.8,6.5,7.4,5.7,9.2,3.6
CHEMBL575448,0.8,17.5,22.8,0.0,1.2,0.0,0.9,8.1,2.4,0.0,10.9,0.0,2.2,2.4,0.1,1.3,0.0,0.0,2.0,0.0
