Target,BT-20,BT-549,CAL-120,CAL-148,CAL-51,CAL-85-1,DU-4475,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70,HCC1143,HCC1937,HDQ-P1,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,MFM-223
B2RXH2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O00141,1.0,1.0,1.0,0.8281379310344827,0.7297319587628865,1.0,1.0,0.9996782841823055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O00238,1.0,1.0,1.0,0.8367601246105918,0.5971310344827586,0.7961558441558442,1.0,1.0,1.0,1.0,0.8358045602605864,0.9640677966101695,1.0,1.0,0.691089430894309,0.944,1.0,1.0,0.6217651821862349,1.0
O00311,1.0,1.0,1.0,0.6596788321167883,0.3195505617977528,0.9126645367412142,0.9312757660167131,0.9996782841823055,1.0,0.918477508650519,0.8206201550387597,1.0,1.0,1.0,0.8077633136094675,0.9955250659630607,1.0,0.9999452054794521,0.613134328358209,1.0
O00329,1.0,1.0,1.0,0.786016806722689,0.6627355623100304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8532838196286473,1.0,1.0,1.0,1.0,1.0
O00443,0.9743333333333335,1.0,1.0,0.692,0.5180772532188841,0.9157151702786379,0.8569491525423729,0.9996782841823055,0.9004601769911504,0.9210375426621161,0.9348333333333332,1.0,1.0,1.0,0.6899333333333333,0.8564485981308412,1.0,1.0,0.7296908517350158,0.9278297872340427
O00444,1.0,1.0,1.0,0.316,0.12639999999999998,1.0,0.8125714285714286,1.0,1.0,1.0,0.8649371428571428,1.0,1.0,1.0,0.8921414141414142,0.9809890109890109,1.0,0.9999452054794521,0.4132307692307693,1.0
O00506,0.9975686274509804,1.0,1.0,0.9995066079295153,0.9586799204771371,0.8053485714285715,1.0,0.9996782841823055,1.0,0.9057183098591548,0.8649371428571428,0.9551493212669685,0.8325384615384617,1.0,0.6427118644067796,0.8700627802690583,1.0,0.9999452054794521,0.805150684931507,1.0
O00519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O00571,1.0,1.0,1.0,0.8128904593639575,1.0,1.0,1.0,0.9996782841823055,1.0,0.8878095238095237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O00750,1.0,1.0,1.0,0.692,0.5105676855895197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8078608695652174,0.9702535211267607,1.0,1.0,1.0,1.0
O00764,0.7222857142857143,0.9900115606936416,1.0,0.12639999999999998,0.21066666666666664,0.7953258426966292,0.8794965034965035,1.0,1.0,0.86268,0.5204705882352941,0.04861538461538462,0.44239999999999996,1.0,0.6262018348623853,0.8178823529411764,1.0,0.9999452054794521,1.0,0.0
O14578,1.0,1.0,1.0,0.8182736842105263,0.9237903225806452,0.8638391959798996,1.0,0.9728285714285715,1.0,1.0,0.8358045602605864,0.8812888888888888,1.0,1.0,0.8077633136094675,0.9702535211267607,1.0,1.0,0.7996022099447513,1.0
O14684,1.0,1.0,1.0,0.8636715542521994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O14730,0.9975686274509804,1.0,1.0,0.692,0.3993888888888889,0.9433392330383481,0.8569491525423729,0.9728285714285715,1.0,0.86268,0.7613567251461988,0.9361869158878505,0.8325384615384617,1.0,0.6583333333333333,0.8564485981308412,1.0,0.9999452054794521,0.5486111111111112,1.0
O14733,0.9743333333333335,0.9877365269461077,1.0,0.8451820895522387,0.8842689075630252,0.5848358208955224,0.9312757660167131,0.9728285714285715,0.9826301369863013,0.8784220183486238,0.8242517482517482,0.8295,0.8325384615384617,1.0,0.6427118644067796,0.8564485981308412,1.0,0.9843539823008849,0.5876491228070175,0.9348333333333332
O14744,0.9988682926829269,1.0,1.0,0.868343490304709,0.7539086294416243,0.9530695187165774,1.0,0.9728285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O14757,1.0,0.9877365269461077,1.0,0.4850232558139535,0.36620560747663555,0.8459583333333334,0.8355254237288136,0.9728285714285715,0.954820143884892,0.86268,0.48716666666666664,1.0,0.7807058823529411,1.0,0.6555527950310559,0.8639266055045871,1.0,0.9999452054794521,0.46184615384615385,1.0
