,Target,Cell_line,TAS,PVal,PVAdjust
0,Q16288,BT-549,0.06428571,0.919,1.0
20,P54764,BT-549,0.96666676,0.243,0.9877365269461077
40,O43353,BT-549,0.18928573,0.958,1.0
60,P48736,BT-549,0.47142857,0.55,1.0
80,P06239,BT-549,0.5578947,0.572,1.0
100,P43405,BT-549,0.91428566,0.265,0.9900115606936416
120,Q13523,BT-549,0.6,0.345,1.0
140,Q15375,BT-549,0.56000006,0.437,1.0
160,P29320,BT-549,0.4,0.528,1.0
180,P21127,BT-549,0.9599999,0.245,0.9877365269461077
200,O43293,BT-549,0.6,0.4,1.0
220,O75914,BT-549,0.6375,0.405,1.0
240,P57078,BT-549,0.14999999,0.676,1.0
260,P22612,BT-549,1.6999999,0.108,0.9877365269461077
280,Q13163,BT-549,0.58181816,0.511,1.0
300,Q13976,BT-549,0.6375,0.38,1.0
320,P00533,BT-549,0.22142856,0.922,1.0
340,Q5VT25,BT-549,0.0,1.0,1.0
360,P32298,BT-549,0.55714285,0.398,1.0
380,P04629,BT-549,0.93333334,0.233,0.9877365269461077
400,Q06187,BT-549,0.81999993,0.3,1.0
420,P36888,BT-549,0.4809524,0.698,1.0
440,Q13233,BT-549,1.2166667,0.186,0.9877365269461077
460,Q14004,BT-549,1.0799999,0.241,0.9877365269461077
480,Q9Y4K4,BT-549,0.43999997,0.638,1.0
500,P16234,BT-549,0.244,0.886,1.0
520,Q92769,BT-549,0.7285714,0.355,1.0
540,Q9Y5N1,BT-549,0.0,1.0,1.0
560,Q9Y6F1,BT-549,0.0,1.0,1.0
580,Q13555,BT-549,0.875,0.261,0.9877365269461077
600,O60285,BT-549,0.65,0.399,1.0
620,P15735,BT-549,1.0666666,0.238,0.9877365269461077
640,Q15831,BT-549,1.575,0.077,0.9877365269461077
660,Q13131,BT-549,1.075,0.194,0.9877365269461077
680,Q12866,BT-549,0.4416667,0.531,1.0
700,Q9P1W9,BT-549,0.67142856,0.375,1.0
720,Q00535,BT-549,1.14,0.16,0.9877365269461077
740,Q9ULX7,BT-549,0.0,1.0,1.0
760,P08922,BT-549,0.32500002,0.644,1.0
780,P37023,BT-549,0.16666667,0.451,1.0
800,Q9UQM7,BT-549,1.0,0.189,0.9877365269461077
820,Q16512,BT-549,0.26363638,0.718,1.0
840,P07332,BT-549,0.9636364,0.237,0.9877365269461077
860,Q9UHD2,BT-549,0.6666667,0.386,1.0
880,P62993,BT-549,0.49166667,0.523,1.0
900,P42680,BT-549,0.3875,0.529,1.0
920,P49840,BT-549,0.5416667,0.478,1.0
940,P09619,BT-549,0.28275865,0.865,1.0
960,P35916,BT-549,0.14482757,0.96,1.0
980,Q16539,BT-549,0.025,0.978,1.0
1000,P11274,BT-549,0.65000004,0.406,1.0
1020,Q15303,BT-549,0.44666666,0.606,1.0
1040,P29376,BT-549,0.089999996,0.806,1.0
1060,P35968,BT-549,0.15384616,0.982,1.0
1080,P11309,BT-549,0.75,0.341,1.0
1100,O14965,BT-549,0.48499998,0.58,1.0
1120,O15146,BT-549,0.39000002,0.564,1.0
1140,Q9BWU1,BT-549,0.68571424,0.346,1.0
1160,O75582,BT-549,0.19999999,0.757,1.0
1180,Q92772,BT-549,0.36666664,0.561,1.0
1200,P08238,BT-549,0.0,1.0,1.0
1220,P29597,BT-549,0.5647059,0.504,1.0
