,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
Q16288,0.919,0.809,0.363,0.922,0.545,0.777,0.59,0.529,0.92,0.994,0.649,0.949,0.976,0.864,0.723,0.908,0.94,0.966,0.941,0.558
P54764,0.243,0.093,0.014,0.551,0.323,0.81,0.292,0.069,0.353,0.336,0.289,0.48,0.102,0.424,0.443,0.71,0.579,0.732,0.413,0.356
O43353,0.958,0.984,0.957,0.976,0.982,0.984,0.958,0.994,0.95,0.641,0.776,0.976,0.962,0.994,0.978,1.0,1.0,1.0,1.0,0.99
P48736,0.55,0.111,0.174,0.303,0.334,0.463,0.944,0.479,0.18,0.49,0.46,0.542,0.14,0.246,0.193,0.535,0.116,0.498,0.773,0.533
P06239,0.572,0.22,0.044,0.851,0.586,0.979,0.514,0.144,0.677,0.47,0.574,0.534,0.332,0.739,0.664,0.756,0.843,0.866,0.629,0.633
P43405,0.265,0.296,0.077,0.426,0.316,0.682,0.141,0.208,0.396,0.093,0.527,0.046,0.086,0.347,0.247,0.422,0.622,0.354,0.12,0.297
Q13523,0.345,0.487,0.428,0.208,0.393,0.631,0.543,0.285,0.261,0.606,0.313,0.264,0.197,0.453,0.368,0.331,0.432,0.215,0.278,0.394
Q15375,0.437,0.357,0.048,1.0,0.72,0.974,0.363,0.121,0.427,0.876,0.73,0.891,0.529,0.583,0.881,0.773,0.912,0.799,0.562,0.895
P29320,0.528,0.898,0.325,0.467,0.515,0.721,0.364,0.776,0.571,0.41,0.771,0.425,0.378,0.735,0.597,0.87,0.703,0.73,0.652,0.627
P21127,0.245,0.171,0.051,1.0,0.021,0.303,0.33,0.036,0.613,0.107,0.135,0.497,0.398,0.064,0.043,0.074,0.01,0.387,0.078,0.037
O43293,0.4,0.136,0.381,0.55,0.509,0.967,0.851,0.761,0.452,0.542,0.79,0.221,0.459,0.128,0.409,0.705,0.59,0.453,0.349,0.215
O75914,0.405,0.606,0.356,0.542,0.581,0.81,0.378,0.346,0.647,0.466,0.267,0.389,0.304,0.55,0.508,0.606,0.325,0.298,0.369,0.579
P57078,0.676,0.517,0.291,0.667,0.327,0.436,0.373,0.346,0.623,0.698,0.528,0.595,0.633,0.575,0.552,0.758,0.87,0.778,0.521,0.537
P22612,0.108,0.194,0.085,0.587,0.324,1.0,0.055,0.061,0.264,0.2,0.167,0.422,0.262,0.275,0.479,0.344,0.141,0.088,0.239,0.31
Q13163,0.511,0.437,0.318,0.632,0.49,0.747,0.428,0.155,0.627,0.189,0.129,0.224,0.348,0.721,0.634,0.649,0.554,0.618,0.314,0.331
Q13976,0.38,0.018,0.213,0.518,0.641,0.834,0.349,0.314,0.689,0.54,0.258,0.471,0.475,0.319,0.494,0.376,0.321,0.285,0.45,0.592
P00533,0.922,0.871,0.94,0.897,0.973,0.996,0.723,0.869,0.963,0.169,0.998,0.911,0.869,0.996,0.836,0.97,0.949,0.995,0.993,0.88
Q5VT25,1.0,0.169,0.227,1.0,0.438,0.549,0.217,0.636,1.0,0.569,0.47,1.0,0.582,0.502,0.354,0.398,1.0,1.0,0.559,0.444
P32298,0.398,0.287,0.151,0.287,0.278,0.417,0.46,0.193,0.322,0.603,0.276,0.319,0.209,0.522,0.38,0.405,0.589,0.345,0.267,0.383
P04629,0.233,0.105,0.012,0.54,0.19,0.864,0.324,0.087,0.328,0.732,0.212,0.118,0.241,0.438,0.51,0.431,0.609,0.537,0.244,0.457
Q06187,0.3,0.29,0.09,0.461,0.438,0.832,0.3,0.132,0.435,0.066,0.56,0.452,0.151,0.593,0.469,0.716,0.664,0.517,0.502,0.353
P36888,0.698,0.338,0.039,0.779,0.405,0.963,0.302,0.209,0.711,0.885,0.852,0.25,0.519,0.535,0.63,0.946,0.823,0.838,0.619,0.511
Q13233,0.186,0.204,0.013,0.267,0.066,0.09,0.071,0.089,0.097,0.132,0.03,0.119,0.043,0.022,0.198,0.459,0.354,0.243,0.145,0.019
Q14004,0.241,0.248,0.096,1.0,0.017,0.296,0.533,0.036,0.682,0.017,0.22,0.272,0.207,0.018,0.019,0.022,0.001,0.216,0.016,0.003
Q9Y4K4,0.638,0.44,0.236,0.815,0.544,0.75,0.462,0.381,0.676,0.766,0.434,0.368,0.536,0.857,0.837,0.732,0.728,0.896,0.761,0.716
P16234,0.886,0.547,0.319,0.941,0.817,0.953,0.781,0.499,0.924,0.987,0.909,0.928,0.939,0.93,0.776,0.893,0.976,0.97,0.879,0.946
Q92769,0.355,0.003,0.013,0.041,0.015,0.0,0.234,0.006,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.012,0.012
Q9Y5N1,1.0,0.537,0.709,1.0,0.29,0.225,0.091,0.14,1.0,0.278,0.312,1.0,1.0,0.242,0.448,0.49,0.273,0.389,1.0,0.206
Q9Y6F1,1.0,0.316,0.111,1.0,1.0,1.0,1.0,0.18,1.0,1.0,0.347,1.0,1.0,0.392,1.0,0.43,1.0,1.0,1.0,0.263
Q13555,0.261,0.549,0.529,0.477,0.577,0.963,0.256,0.471,0.507,0.452,0.428,0.076,0.333,0.602,0.555,0.368,0.286,0.29,0.316,0.519
O60285,0.399,0.01,0.015,0.288,0.351,0.627,0.321,0.125,0.437,0.272,0.284,0.265,0.05,0.127,0.24,0.078,0.566,0.339,0.012,0.509
P15735,0.238,0.598,0.383,0.615,0.208,0.853,0.328,0.083,0.545,0.083,0.169,0.302,0.335,0.132,0.263,0.178,0.018,0.179,0.113,0.097
Q15831,0.077,0.098,0.017,0.128,0.033,0.29,0.124,0.026,0.253,0.052,0.051,0.084,0.04,0.057,0.093,0.037,0.011,0.026,0.015,0.014
Q13131,0.194,0.06,0.006,0.797,0.298,0.897,0.155,0.017,0.256,0.342,0.092,0.653,0.237,0.332,0.629,0.29,0.204,0.216,0.162,0.52
Q12866,0.531,0.78,0.543,0.427,0.567,0.917,0.445,0.458,0.37,0.341,0.782,0.532,0.246,0.698,0.753,0.719,0.637,0.478,0.545,0.66
Q9P1W9,0.375,0.579,0.809,0.427,0.285,0.891,0.603,0.235,0.593,0.557,0.736,0.46,0.453,0.319,0.372,0.451,0.245,0.481,0.349,0.175
Q00535,0.16,0.138,0.026,0.504,0.009,0.578,0.282,0.013,0.703,0.008,0.166,0.002,0.101,0.009,0.009,0.012,0.002,0.105,0.002,0.0
Q9ULX7,1.0,0.732,0.944,1.0,1.0,1.0,0.612,1.0,1.0,1.0,0.808,1.0,1.0,1.0,0.776,0.81,0.843,0.688,1.0,1.0
P08922,0.644,0.192,0.032,0.614,0.366,0.362,0.388,0.285,0.62,0.78,0.272,0.667,0.528,0.636,0.3,0.639,0.807,0.724,0.523,0.313
P37023,0.451,0.488,0.137,1.0,0.47,0.668,0.277,0.152,0.353,0.399,0.713,1.0,0.55,1.0,1.0,0.759,1.0,0.406,0.618,1.0
Q9UQM7,0.189,0.172,0.161,0.142,0.329,0.546,0.334,0.217,0.159,0.364,0.206,0.215,0.107,0.362,0.203,0.192,0.29,0.141,0.176,0.259
Q16512,0.718,0.348,0.399,0.509,0.687,0.684,0.492,0.659,0.732,0.797,0.732,0.083,0.481,0.775,0.625,0.503,0.749,0.606,0.549,0.737
P07332,0.237,0.334,0.201,0.464,0.465,0.881,0.391,0.2,0.275,0.378,0.58,0.48,0.126,0.451,0.671,0.462,0.582,0.56,0.286,0.576
Q9UHD2,0.386,0.007,0.002,0.441,0.398,0.654,0.094,0.03,0.688,0.133,0.086,0.213,0.083,0.167,0.108,0.062,0.289,0.144,0.012,0.543
P62993,0.523,0.433,0.207,0.819,0.56,0.752,0.641,0.258,0.38,0.598,0.58,0.66,0.279,0.595,0.776,0.676,0.786,0.749,0.496,0.84
P42680,0.529,0.292,0.148,0.848,0.653,0.961,0.365,0.23,0.647,0.163,0.836,0.635,0.578,0.63,0.654,0.774,0.873,0.719,0.722,0.866
P49840,0.478,0.192,0.201,0.634,0.047,0.895,0.785,0.041,0.796,0.156,0.364,0.503,0.478,0.112,0.163,0.079,0.013,0.242,0.092,0.011
